Bellek Boyutu(GB),Ekran Kartı Skoru,Medyan Fiyat
0.14583333333333334,0.610748148892686,0.09592237963741146
0.14583333333333334,0.610748148892686,0.10693810781606436
0.14583333333333334,0.610748148892686,0.1070956897586745
0.22916666666666666,0.49723590310583976,0.0866700684355865
0.3125,0.8208195128488625,0.281591427542322
0.22916666666666666,0.8405199852581499,0.28979319246007923
0.4791666666666667,0.6638523134653399,0.39533557449873935
0.0625,0.13338023922002212,0.03175651338696122
0.10416666666666667,0.3509565450464033,0.06039890743186457
0.22916666666666666,0.49723590310583976,0.07605204706447352
0.14583333333333334,0.42302408952323517,0.04557870092448073
0.0625,0.18504372298723487,0.03661904190178893
0.14583333333333334,0.34824270445940964,0.05871052947532717
0.0625,0.13338023922002212,0.023974966982831074
0.14583333333333334,0.610748148892686,0.10335874654820507
0.1875,0.7730760210406405,0.23468453595869854
0.22916666666666666,0.5791201795825376,0.09196031936607035
0.14583333333333334,0.6745736589942037,0.12771641253451796
0.14583333333333334,0.7178610915669916,0.1440223916436547
0.14583333333333334,0.34824270445940964,0.06090166886781126
0.22916666666666666,0.5791201795825376,0.12430213711129788
0.22916666666666666,0.5791201795825376,0.08660253331732501
0.10416666666666667,0.3215733574563608,0.047379637411453956
0.14583333333333334,0.5209233758836734,0.06902089086324889
0.3125,0.8208195128488625,0.2077755432825069
0.14583333333333334,0.34824270445940964,0.05791511586024733
0.22916666666666666,0.49723590310583976,0.08415626125585304
0.4791666666666667,0.822327202063859,0.2829721455156681
0.1875,0.7730760210406405,0.22492195941889784
0.22916666666666666,0.49723590310583976,0.08216022331612438
0.22916666666666666,0.49723590310583976,0.07752281186216833
0.22916666666666666,0.6438503032130531,0.10353884019690239
0.22916666666666666,0.6438503032130531,0.09454166166406532
0.4791666666666667,0.822327202063859,0.25796914395485654
0.0,0.006432807317318329,0.004945071437147316
0.22916666666666666,0.5791201795825376,0.12776893984872134
0.22916666666666666,0.6438503032130531,0.09709298835394405
0.0625,,0.032229259214791695
0.0625,0.18504372298723487,0.03477308200264137
0.14583333333333334,0.610748148892686,0.11132789050306159
0.14583333333333334,0.468991858478239,0.08270800816424541
0.1875,0.7730760210406405,0.16122133509424902
0.14583333333333334,0.34824270445940964,0.07739524552767439
0.14583333333333334,0.468991858478239,0.06613939248409173
0.0625,0.13338023922002212,0.02936276863969264
0.14583333333333334,0.6745736589942037,0.11836655060631529
0.14583333333333334,0.42302408952323517,0.05357786048745348
0.14583333333333334,0.2215633061949275,0.04779985592508104
0.1875,0.7730760210406405,0.17328760955696962
0.14583333333333334,0.7178610915669916,0.14381228238684116
0.3125,0.748483934733809,0.13434986192820267
0.14583333333333334,0.610748148892686,0.0954121142994357
