Ağırlık(kg),İşlemci Arttırılmış Frekans(GHz),İşlemci Çekirdek Sayısı,İşlemci Temel Frekans(GHz),İşlemci Önbelleği(MB),Ram(Bellek) Boyutu(GB),Ram(Bellek) Frekansı(MHz),Ekran Boyutu(inç),Harici Ekran Kartı Belleği(GB),İşlemci Skoru,Medyan Fiyat,Ekran Kartı Skoru
,0.001064516129032258,0.25,0.276595744680851,0.46875,0.0234375,0.359375,0.0888888888888889,,0.015101528384279476,0.03436721698718772,0.1746450973918785
0.01270992366412214,0.0005483870967741936,,0.021276595744680868,0.09375,0.0078125,0.234375,,,0.2039792576419214,0.008338254551056565,
0.027977099236641222,0.000967741935483871,0.25,0.23404255319148937,0.21875,0.0546875,0.359375,0.14814814814814814,,0.01310807860262009,0.033436464939533214,
0.03561068702290076,0.0011290322580645162,0.125,0.3404255319148936,0.21875,0.0234375,0.2759375,0.14814814814814814,,0.006418122270742357,0.027190797750789534,0.1746450973918785
0.01270992366412214,0.0005806451612903225,0.0,0.021276595744680868,0.09375,0.0078125,,0.09259259259259259,,0.0035589519650655018,0.003203070839859296,
0.027977099236641222,0.0009999999999999998,0.0,0.14893617021276595,0.15625,0.0234375,0.359375,0.14814814814814814,,0.01124235807860262,0.023429275682337537,0.1746450973918785
0.042099236641221366,0.000967741935483871,0.25,0.23404255319148937,0.21875,0.0234375,0.359375,0.14814814814814814,,0.01310807860262009,0.031773949213033094,
0.026068702290076334,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0234375,0.359375,0.14814814814814814,,0.01124235807860262,0.030483734305594784,
0.027977099236641222,0.0005806451612903225,0.0,0.021276595744680868,0.09375,0.0078125,,0.14814814814814814,,0.0035589519650655018,0.0015983259301101498,
0.033702290076335885,,0.125,0.23404255319148937,0.09375,0.0078125,,0.14814814814814814,,0.006418122270742357,0.02791614244999615,0.36975899636843845
0.026068702290076334,0.0008064516129032258,0.0,0.3404255319148936,0.09375,0.0234375,0.234375,0.14814814814814814,,0.0029923580786026197,0.019045112588902867,0.1746450973918785
0.027977099236641222,0.0009032258064516129,0.125,0.3404255319148936,0.09375,0.0234375,0.359375,0.14814814814814814,,0.009610262008733625,0.024648881813746887,
0.031030534351145042,0.0007741935483870968,0.0,0.042553191489361694,0.09375,0.0078125,0.234375,0.14814814814814814,,0.014281659388646289,0.03867435232495443,0.1746450973918785
0.024160305343511455,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0234375,0.359375,0.0888888888888889,,0.01124235807860262,0.03405910596451588,
0.03561068702290076,0.0007741935483870968,0.0,0.042553191489361694,0.09375,0.0078125,0.2759375,0.14814814814814814,,0.014281659388646289,0.021497162810999563,0.1746450973918785
0.024160305343511455,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0234375,0.359375,0.0888888888888889,,0.01124235807860262,0.024257324055768095,
0.027977099236641222,0.000967741935483871,0.25,0.425531914893617,0.3125,0.0234375,0.359375,0.14814814814814814,,0.01470524017467249,0.033828022697512006,
0.027595419847328245,0.0009999999999999998,0.0,,0.15625,0.0078125,0.2759375,0.14814814814814814,,0.01124235807860262,0.02834621408580892,
0.01881679389312977,0.001032258064516129,0.125,0.2978723404255319,0.21875,0.0234375,0.359375,0.0888888888888889,,0.034101528384279475,0.04376460317867872,0.1746450973918785
0.02034351145038168,0.0009999999999999998,0.0,0.23404255319148937,0.09375,0.0078125,0.2759375,0.0888888888888889,,0.011120087336244542,0.021753921996559428,0.1746450973918785
0.03561068702290076,,0.0,0.021276595744680868,0.09375,0.0078125,,0.14814814814814814,,0.0035589519650655018,0.0028821218579094666,0.1746450973918785
0.03561068702290076,,,,,0.0078125,,0.14814814814814814,,0.00019104803493449787,0.012517010296043341,0.1746450973918785
0.027977099236641222,0.0009032258064516129,0.125,0.3404255319148936,0.09375,0.0234375,0.359375,0.14814814814814814,,0.009610262008733625,0.02310190772074871,
0.024160305343511455,0.0009032258064516129,0.125,0.3404255319148936,0.09375,0.0234375,0.359375,0.0888888888888889,,0.009610262008733625,0.028564459393534802,0.1746450973918785
0.016526717557251908,0.0005806451612903225,0.0,0.021276595744680868,0.09375,0.0078125,0.234375,0.0888888888888889,,0.0035589519650655018,0.00712506739928621,0.1746450973918785
0.024160305343511455,0.0005806451612903225,0.0,0.021276595744680868,0.09375,0.0078125,,0.0888888888888889,,0.0035589519650655018,0.00802372454874573,0.1746450973918785
0.05087786259541984,0.000967741935483871,0.125,0.276595744680851,0.09375,0.0234375,,0.14814814814814814,,0.006624454148471615,0.0310165096156315,0.1746450973918785
0.031793893129770996,,,,,0.0078125,,0.14814814814814814,,,0.02357049323439546,
0.031793893129770996,0.0007741935483870968,0.0,0.042553191489361694,0.09375,0.0078125,0.2759375,0.14814814814814814,,0.014281659388646289,0.02210696587670424,0.1746450973918785
0.01919847328244275,0.0007741935483870968,0.0,0.042553191489361694,0.09375,0.0078125,0.234375,0.0888888888888889,,0.014281659388646289,0.03862941946748145,
0.031793893129770996,0.0009999999999999998,0.0,0.23404255319148937,0.09375,0.0234375,0.2759375,0.14814814814814814,,0.011120087336244542,0.02654248080725088,
0.024160305343511455,0.001032258064516129,0.125,0.2978723404255319,0.21875,0.0234375,0.2759375,0.14814814814814814,,0.034101528384279475,0.028301281228335945,0.1746450973918785
0.027977099236641222,0.0009999999999999998,0.0,,0.15625,0.0078125,0.359375,0.14814814814814814,,0.01124235807860262,0.024276580994685083,0.1746450973918785
0.024541984732824432,0.0011935483870967743,0.125,,0.34375,0.0234375,0.359375,0.14814814814814814,,0.006418122270742357,0.03630574883816468,0.1746450973918785
