İşlemci,İşlemci Serisi,İşlemci Modeli,Jenerasyon,Arttırılmış Frekans(GHz),Çekirdek,Temel Frekans(GHz),uri,Ürün Adı,En Düşük Fiyat,Medyan Fiyat,İşlemci Skoru,Cluster Label,Cosine Similar,1.NearestNeighbor,2.NearestNeighbor
Core i7,İntel Core i7,Intel Core i7-1370P,3.Nesil,3.9,4.0,3.4,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-3770-3-4ghz-1155pin-islemci-fiyatlari,310647",Intel Core i7 3770 3.40 GHz 4 Çekirdekli 1155Pin İşlemci,1400.64,1725.0,25.032,3,107,130,272
Ryzen 5,AMD Ryzen,AMD Ryzen 5 5600G,5.Nesil,4.4,6.0,3.9,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-5600g-3-9-ghz-am4-19-mb-cache-65-w-islemci-fiyatlari,896498294",AMD Ryzen 5 5600G 3.9 GHz AM4 19 MB Cache 65 W İşlemci,2783.04,3064.0,19.861,0,101,38,31
AMD,Ryzen 5,AMD Ryzen 5 3500X,3.Nesil,4.1,6.0,3.6,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-3500x-3-6-ghz-am4-islemci-fiyatlari,603611347",AMD Ryzen 5 3500X 3.6 GHz AM4 İşlemci,2985.0,3424.0,13.234,3,191,277,1
Ryzen 3,AMD Ryzen 3,AMD Ryzen 3 1200,1.Nesil,3.4,4.0,3.4,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-3-1200-3-43-1ghz-am4-islemci-fiyatlari,50127958",AMD Ryzen 3 1200 3.1GHz 4 Çekirdekli AM4 İşlemci,1149.0,1505.0,6.311,3,368,305,43
Ryzen 5,AMD Ryzen,AMD Ryzen 5 5600,5.Nesil,4.4,6.0,3.5,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-5600-am4-pin-65-w-fanli-box-islemci-fiyatlari,1513964983",AMD Ryzen 5 5600 Am4 Pin 65 W Fanlı Box İşlemci,2934.56,3199.0,21.539,3,164,67,315
Core i3,Intel Core,Intel Core i3-12100F,12.Nesil,4.3,4.0,3.3,"https://www.cimri.com/islemci/en-ucuz-intel-core-i3-12100f-4-30-ghz-4-cekirdek-17-mb-1700-p-10-nm-islemci-fiyatlari,1414704507",Intel Core i3 12100F 4.30 Ghz 4 Çekirdek 17 MB 1700 p 10 nm İşlemci,2023.69,2313.0,14.321,3,192,150,210
Ryzen 5,AMD Ryzen 5,AMD Ryzen 5 3400G,3.Nesil,4.2,4.0,3.7,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-3400g-3-7-4-2-ghz-am4-islemci-fiyatlari,304336381",AMD Ryzen 5 3400G 3.70 GHz 4 Çekirdekli İşlemci,1999.99,2600.0,9.314,3,11,58,85
Core i5,İntel Core i5,Intel Core i5-13400,,3.2,4.0,3.2,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-3470-3-2ghz-1155pin-islemci-fiyatlari,616165",Intel Core i5 3470 3.2GHz 1155Pin İşlemci,579.0,1076.0,26.205,3,239,274,239
Ryzen 9,AMD Ryzen,AMD Ryzen 9 5950X,5.Nesil,4.9,16.0,3.4,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-9-5950x-340ghz-72mb-am4-islemci-fiyatlari,722908045","AMD Ryzen 9 5950X 3,40GHZ 72MB AM4 İşlemci",12730.98,13861.0,45.889,2,18,120,176
Intel,Core i7,Intel Core i7-13700F,10.Nesil,4.8,8.0,2.9,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-10700f-soket-1200-2-9ghz-16mb-islemci-fiyatlari,601262412",Intel Core İ7 10700F Soket 1200 2.9Ghz 16MB İşlemci,4911.21,5646.0,38.686,6,57,348,347
Core i5,İntel Core i5,Intel Core i5-13400F,9.Nesil,4.1,6.0,2.9,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-9400f-2-9-ghz-1151v2pin-islemci-fiyatlari,162506231",Intel Core i5-9400F 2.90 GHz 1151v2Pin 6 Çekirdekli İşlemci,3650.16,3946.0,25.779,6,41,77,294
