Bellek Boyutu(GB),İşlemci Üreticisi,Ekran Kartı Modeli,uri,Ürün Adı,En Düşük Fiyat,Medyan Fiyat,Ekran Kartı Skoru,Cluster Label,Cosine Similar,1.NearestNeighbor,2.NearestNeighbor
10.0,NVIDIA,GeForce RTX 3080,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-geforce-tuf-rtx3080-10g-v2-gaming-10gb-gddr6x-320bit-1740mhz-oc-2x-hdmi-3xdp-rgb-ekran-karti-fiyatlari,949743981",Asus Geforce TUF-RTX3080-10G-V2-GAMING 10GB GDDR6X 320BIT 1740MHZ OC 2X HDMI 3XDP RGB Ekran Kartı,22999.0,31500.0,25.389,2,28,537,348
12.0,AMD,Radeon RX 6700 XT,"https://www.cimri.com/ekran-kartlari/en-ucuz-msi-amd-radeon-rx-6700-xt-mech-2x-oc-12-gb-gddr6-192-bit-ekran-karti-fiyatlari,775923513",MSI AMD Radeon RX 6700 XT Mech 2X OC 12 GB GDDR6 192 Bit Ekran Kartı,9999.0,12480.0,19.6,2,545,319,68
8.0,NVIDIA,GeForce RTX 3070,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-tuf-gaming-geforce-rtx-3070-oc-tuf-rtx3070-o8g-gaming-8gb-gddr6-256bit-dx12-gaming-ekran-karti-fiyatlari,671091781",Asus TUF Gaming GeForce RTX 3070 OC TUF-RTX3070-O8G-GAMING 8GB GDDR6 256Bit DX12 Gaming Ekran Kartı,15799.0,17245.0,22.449,2,14,381,394
8.0,NVIDIA,GeForce RTX 3070 Ti,"https://www.cimri.com/ekran-kartlari/en-ucuz-msi-geforce-rtx-3070-ti-ventus-3x-oc-8gb-gddr6-256-bit-ekran-karti-fiyatlari,860551518",Msı Geforce RTX 3070 Ti Ventus 3x OC 8GB GDDR6 256 bit Ekran Kartı,15083.28,19418.0,23.741,2,86,438,49
8.0,NVIDIA,GeForce RTX 3050,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-geforce-rtx-3050-phoenix-8-gb-gddr6-128-bit-ekran-karti-fiyatlari,1375000175",Asus GeForce RTX 3050 Phoenix 8 GB GDDR6 128 Bit Ekran Kartı,7599.0,8341.0,12.709,0,25,143,144
12.0,AMD,Radeon RX 6700 XT,"https://www.cimri.com/ekran-kartlari/en-ucuz-sapphire-amd-radeon-rx-6700-xt-nitro-11306-01-20g-12-gb-gddr6-192-bit-ekran-karti-fiyatlari,765021729",Sapphire AMD Radeon RX 6700 XT Nitro+ 11306-01-20G 12 GB GDDR6 192 Bit Ekran Kartı,12599.0,16790.0,19.6,2,150,354,18
12.0,AMD,Radeon RX 6700 XT,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-radeon-rx-6700-xt-dual-oc-dual-rx6700xt-12g-12-gb-gddr6-192-bit-ekran-karti-fiyatlari,1099756365",Asus Radeon RX 6700 XT Dual OC DUAL-RX6700XT-12G 12 GB GDDR6 192 Bit Ekran Kartı,9265.0,11766.0,19.6,2,262,229,496
6.0,NVIDIA,GeForce GTX 1660 Ti,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-geforce-tuf-gtx1660ti-t6g-evo-gaming-6gb-gddr6-192bit-oc-1xd-2x-hdmi-1x-dp-ekran-karti-fiyatlari,951855451",Asus Geforce TUF-GTX1660TI-T6G-EVO-GAMING 6GB GDDR6 192BIT OC 1XD 2X HDMI 1X DP Ekran Kartı,5399.0,6539.0,11.913,0,373,398,96
8.0,AMD,Radeon RX 6650 XT,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-radeon-rx-6650-xt-dual-rx6650xt-o8g-8-gb-gddr6-256-bit-oc-ekran-karti-fiyatlari,1754254109",Asus Radeon RX 6650 XT Dual RX6650XT-O8G 8 GB GDDR6 256 Bit OC Ekran Kartı,6951.36,9423.0,17.863,2,497,344,202
16.0,AMD,Radeon RX 6900 XT,"https://www.cimri.com/ekran-kartlari/en-ucuz-gigabyte-aorus-radeon-rx6900xt-master-16g-gv-r69xtaorus-m-16gd-16-gb-gddr6-256-bit-dx12-ekran-karti-fiyatlari,1203682014",Gigabyte Aorus Radeon RX6900XT Master 16G GV-R69XTAORUS M-16GD 16 gb GDDR6 256 bit DX12 Ekran Kartı,21199.0,27914.0,26.814,1,326,288,231
8.0,NVIDIA,GeForce RTX 3050,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-geforce-rtx-3050-dual-oc-8-gb-gddr6-128-bit-ekran-karti-fiyatlari,1372177007",Asus GeForce RTX 3050 Dual  OC 8 GB GDDR6 128 Bit Ekran Kartı,6150.0,7943.0,12.709,0,19,254,182
12.0,NVIDIA,GeForce RTX 3060,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-dual-rtx3060-o12g-dual-geforce-rtx-3060-oc-12gb-gddr6-192bit-dx12-gaming-ekran-karti-fiyatlari,812778788",Asus DUAL-RTX3060-O12G Dual GeForce RTX 3060 OC 12GB GDDR6 192Bit DX12 Gaming Ekran Kartı,10206.14,11440.0,17.156,2,140,266,120
24.0,NVIDIA,GeForce RTX 3090,"https://www.cimri.com/ekran-kartlari/en-ucuz-msi-geforce-rtx-3090-ventus-3x-oc-24gb-gddr6x-384-bit-ekran-karti-fiyatlari,672866378",MSI GeForce RTX 3090 Ventus 3X OC 24GB GDDR6X 384 Bit Ekran Kartı,29742.16,37935.0,26.859,1,41,74,543
10.0,NVIDIA,GeForce RTX 3080,"https://www.cimri.com/ekran-kartlari/en-ucuz-gigabyte-geforce-rtx-3080-eagle-oc-10g-gv-n3080eagle-oc-10gd-10gb-gddr6x-320bit-dx12-gaming-ekran-karti-fiyatlari,659655591",Gigabyte GeForce RTX 3080 Eagle OC 10G GV-N3080EAGLE OC-10GD 10GB GDDR6X 320Bit DX12 Gaming Ekran Kartı,28349.0,30199.0,25.389,2,225,520,353
12.0,NVIDIA,GeForce RTX 3060,"https://www.cimri.com/ekran-kartlari/en-ucuz-gigabyte-geforce-rtx-3060-gaming-oc-12-g-12-gb-gddr6-192-bit-ekran-karti-fiyatlari,1573497268",Gigabyte GeForce RTX 3060 Gaming OC 12 G 12 GB GDDR6 192 Bit Ekran Kartı,8570.16,11174.0,17.156,2,209,336,375
