Temel Frekans(GHz),Çekirdek,Arttırılmış Frekans(GHz),Medyan Fiyat,İşlemci Skoru
0.38,0.20833333333333334,0.48275862068965525,0.022007885956930543,0.03138923076923077
0.4,0.20833333333333334,0.4482758620689655,0.013357597816196541,0.028261538461538463
0.42000000000000004,0.20833333333333334,0.5172413793103448,0.025556566575674854,0.031992307692307695
0.4,0.20833333333333334,0.396551724137931,0.01842887473460722,0.02562769230769231
0.43999999999999995,0.2916666666666667,0.5344827586206897,0.035116772823779195,0.04146153846153846
0.4,0.125,0.46551724137931033,0.009857446163178647,0.021910769230769234
0.18,0.20833333333333334,0.48275862068965525,0.02478616924476797,0.028606153846153847
0.2,0.20833333333333334,0.48275862068965525,0.018095238095238095,0.0379123076923077
0.42000000000000004,0.4583333333333333,0.5517241379310345,0.05210797694874128,0.05867076923076922
0.32,0.20833333333333334,0.27586206896551724,0.01934485896269336,0.017170769230769233
0.25999999999999995,0.20833333333333334,0.46551724137931033,0.019144676979071882,0.0385676923076923
0.36,0.20833333333333334,0.396551724137931,0.0162208067940552,0.018607692307692308
0.4,0.2916666666666667,0.5862068965517241,0.046066120715802246,0.07060615384615385
0.25999999999999995,0.20833333333333334,0.46551724137931033,0.01394601152562936,0.0379123076923077
0.38,0.2916666666666667,0.6379310344827586,0.06056414922656961,0.09069538461538461
0.45999999999999996,0.20833333333333334,0.48275862068965525,0.02037609948437974,0.02880769230769231
0.36,0.125,0.396551724137931,0.010282074613284804,0.036763076923076926
0.45999999999999996,0.20833333333333334,0.48275862068965525,0.01840461025174401,0.02880769230769231
0.4,0.20833333333333334,0.4310344827586206,0.020588413709432818,0.018612307692307692
0.36,0.125,0.31034482758620685,0.00894752805580831,0.007961538461538461
0.38,0.20833333333333334,0.48275862068965525,0.01922353654837731,0.03138923076923077
0.33999999999999997,0.125,0.46551724137931033,0.013848953594176525,0.020284615384615387
0.42000000000000004,0.125,0.4482758620689655,0.015589930239611768,0.012581538461538463
0.32,0.125,0.27586206896551724,0.006345162268729148,0.0385676923076923
0.36,0.625,0.5689655172413793,0.08390051562026084,0.06885076923076923
0.25999999999999995,0.2916666666666667,0.5517241379310345,0.034067333939945404,0.05776923076923077
0.25999999999999995,0.20833333333333334,0.4310344827586206,0.02375492872308159,0.0379123076923077
0.43999999999999995,0.4583333333333333,0.5172413793103448,0.049857446163178644,0.04861846153846154
0.2,0.20833333333333334,0.48275862068965525,0.022238398544131028,0.0385676923076923
0.43999999999999995,0.2916666666666667,0.603448275862069,0.052799514710342735,0.07060615384615385
0.36,0.2916666666666667,0.5,0.050797694874128,0.041113846153846154
0.45999999999999996,0.20833333333333334,0.48275862068965525,0.01956930542917804,0.02880769230769231
0.42000000000000004,0.4583333333333333,0.5517241379310345,0.05511070670306339,0.05867076923076922
0.4,0.125,0.46551724137931033,0.015832575068243857,0.020155384615384617
0.4,0.125,0.41379310344827586,0.012168638155899303,0.009293846153846153
0.36,0.2916666666666667,0.5172413793103448,0.02967546254170458,0.03940769230769231
0.4,0.2916666666666667,0.48275862068965525,0.04740673339399454,0.03315846153846154
0.18,0.20833333333333334,0.48275862068965525,0.023475887170154686,0.028606153846153847
0.45999999999999996,0.20833333333333334,0.48275862068965525,0.01786472550803761,0.02880769230769231
0.4,0.125,0.4482758620689655,0.012071580224446467,0.08833538461538462
0.27999999999999997,0.125,0.3275862068965517,0.013739763421292083,0.0385676923076923
0.42000000000000004,0.20833333333333334,0.5172413793103448,0.0362026084319078,0.05742
0.32,0.125,0.3448275862068966,0.011337579617834395,0.04776769230769231
0.38,0.125,0.3275862068965517,0.012611464968152866,0.008672307692307691
0.4,0.4583333333333333,0.5862068965517241,0.05608128601759175,0.051726153846153845
0.43999999999999995,0.2916666666666667,0.5172413793103448,0.02851076736427055,0.036116923076923074
0.18,0.20833333333333334,0.48275862068965525,0.02592053381862299,0.02830153846153846
0.4,0.20833333333333334,0.4310344827586206,0.010627843494085533,0.023160000000000004
0.32,0.625,0.6206896551724138,0.07442523506217774,0.06223538461538461
0.42000000000000004,0.20833333333333334,0.5172413793103448,0.026502881407340004,0.031992307692307695
0.42000000000000004,0.20833333333333334,0.4482758620689655,0.02689111313315135,0.023355384615384618
0.4999999999999999,0.20833333333333334,0.5517241379310345,0.025228996057021533,0.057321538461538465
0.4,0.20833333333333334,0.4310344827586206,0.011422505307855626,0.023160000000000004
0.36,0.625,0.6551724137931035,0.05938732180770397,0.0697476923076923
0.33999999999999997,0.125,0.3620689655172414,0.00527145890203215,0.03024769230769231
0.38,0.20833333333333334,0.48275862068965525,0.020467091295116775,0.03138923076923077
0.27999999999999997,0.041666666666666664,0.24137931034482757,0.0012617531088868668,6.153846153846159e-05
0.25999999999999995,0.2916666666666667,0.5517241379310345,0.03611161662117076,0.05983384615384615
0.42000000000000004,0.125,0.48275862068965525,0.01032453745829542,0.021910769230769234
0.43999999999999995,0.125,0.41379310344827586,0.010737033666969972,0.01538
0.45999999999999996,0.20833333333333334,0.5689655172413793,0.039059751289050655,0.05742
0.4,0.20833333333333334,0.396551724137931,0.02137700940248711,0.01977076923076923
0.18,0.2916666666666667,0.5689655172413793,0.036693964209887776,0.05776923076923077
0.33999999999999997,0.041666666666666664,0.29310344827586204,0.003930846223839855,0.021570769230769234
0.33999999999999997,0.125,0.46551724137931033,0.016766757658477405,0.020284615384615387
0.43999999999999995,0.2916666666666667,0.603448275862069,0.049353958143767064,0.0697476923076923
0.4999999999999999,0.20833333333333334,0.5517241379310345,0.03545647558386412,0.05742
0.38,0.20833333333333334,0.48275862068965525,0.01967242948134668,0.03138923076923077
0.38,0.041666666666666664,0.3275862068965517,0.0077100394297846524,0.005141538461538461
