Ekran Boyutu,İşletim Sistemi,Ekran Çözünürlüğü,Ekran Panel Tipi,Ekran Çözünürlük Biçimi,Ağırlık,Ram(Bellek) Boyutu,İşlemci Modeli,İşlemci Arttırılmış Frekans,İşlemci Çekirdek Sayısı,İşlemci Markası,İşlemci Temel Frekans,İşlemci Önbelleği,Ram(Bellek) Türü,SSD Boyutu,uri,Ürün Adı,En Düşük Fiyat,Medyan Fiyat,Ram(Bellek) Frekansı,Sabit Disk(HDD) Boyutu,Harici Ekran Kartı Belleği,Harici Ekran Kartı Modeli
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,8 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,128 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa59-ideapad-3-15itl6-i5-1135g7-8-gb-ram-2-tb-128-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1574965663","Lenovo 82H8020BTXA59 IdeaPad 3 15ITL6 i5-1135G7 8 GB Ram 2 TB + 128 GB SSD 15.6"" Dizüstü Bilgisayar",13259.0,13344,3200 MHz,2 TB,Yok,Yok
15.6 inç,Windows 10 Pro,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,8 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,8 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ku00vntxa99-ideapad-3-15alc6-ryzen-7-5700u-8-gb-2-tb-hdd512-gb-15-6-inc-windows-10-pro-dizustu-bilgisayar-fiyatlari,2075377404",Lenovo 82KU00VNTXA99 IdeaPad 3 15ALC6 Ryzen 7-5700U 8 GB 2 TB HDD+512 GB 15.6 inç Windows 10 Pro Dizüstü Bilgisayar,14104.22,14347,3200 MHz,2 TB,Yok,Yok
15.6 inç,Windows 10 Home,1920x1080 Piksel,LED (IPS),Full HD,1.70 kg,12 GB,AMD Ryzen 7 5700U,4.3 GHz,8 Çekirdek,AMD,1.8 GHz,8 MB,DDR4,1 TB + 512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ku00vntxa53-ryzen7-5700u-12gb-ram-1tb-ssd-512gb-ssd-win10-home-15-6inc-laptop-fiyatlari,1846509180",Lenovo 82KU00VNTXA53 Ryzen7 5700U 12GB Ram 1TB SSD + 512GB SSD Win10 Home 15.6inç Laptop,13560.07,13794,3200 MHz,,,
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,20 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa112-ideapad-3-15itl6-i5-1135g7-20-gb-ram-512-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1574964587","Lenovo 82H8020BTXA112 IdeaPad 3 15ITL6 i5-1135G7 20 GB Ram 512 GB SSD 15.6"" Dizüstü Bilgisayar",14189.0,14276,3200 MHz,Yok,Yok,Yok
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,8 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa134-ideapad-3-15itl6-i5-1135g7-8-gb-ram-2-tb-512-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1574960436","Lenovo 82H8020BTXA134 IdeaPad 3 15ITL6 i5-1135G7 8 GB Ram 2 TB + 512 GB SSD 15.6"" Dizüstü Bilgisayar",14708.31,14802,3200 MHz,2 TB,Yok,Yok
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,8 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa25-ideapad-3-15itl6-i5-1135g7-8-gb-ram-2-tb-256-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1574963184","Lenovo 82H8020BTXA25 IdeaPad 3 15ITL6 i5-1135G7 8 GB Ram 2 TB + 256 GB SSD 15.6"" Dizüstü Bilgisayar",12738.52,12817,3200 MHz,2 TB,Yok,Yok
15.6 inç,Windows,1920x1080 Piksel,LED (WVA),Full HD,1.85 kg,8 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-dell-f35obf821na36-inspiron-3511-intel-core-i5-1135g7-8gb-ram-2tb-256gb-ssd-windows-10-home-15-6-tasinabilir-bilgisayar-fiyatlari,1250667943","Dell F35OBF821NA36 Inspiron 3511 Intel Core i5-1135G7 8GB Ram 2TB + 256GB SSD Windows 10 Home 15.6"" Taşınabilir Bilgisayar",13483.08,13799,3200 MHz,2 TB,Yok,Yok
15.6 inç,Windows 10 Pro,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,8 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,8 MB,DDR4,128 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ku00vntxa129-ideapad-3-15alc6-ryzen-7-5700u-8-gb-2-tb-hdd128-gb-15-6-inc-windows-10-pro-ing-dizustu-bilgisayar-fiyatlari,2074718566",Lenovo 82KU00VNTXA129 IdeaPad 3 15ALC6 Ryzen 7-5700U 8 GB 2 TB HDD+128 GB 15.6 inç Windows 10 Pro İng Dizüstü Bilgisayar,13151.96,13379,3200 MHz,2 TB,Yok,Yok
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,12 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa61-ideapad-3-15itl6-i5-1135g7-12-gb-ram-2-tb-256-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1575241473","Lenovo 82H8020BTXA61 IdeaPad 3 15ITL6 i5-1135G7 12 GB Ram 2 TB + 256 GB SSD 15.6"" Dizüstü Bilgisayar",14189.0,14276,3200 MHz,2 TB,Yok,Yok
15.6 inç,Windows,1920x1080 Piksel,LED (WVA),Full HD,1.85 kg,8 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-dell-f35obf821na57-inspiron-3511-intel-core-i5-1135g7-8gb-ram-2tb-256gb-ssd-windows-10-pro15-6-tasinabilir-bilgisayar-fiyatlari,1250667921","Dell F35OBF821NA57 Inspiron 3511 Intel Core i5-1135G7 8GB Ram 2TB + 256GB SSD Windows 10 Pro 15.6"" Taşınabilir Bilgisayar",13781.17,14108,3200 MHz,2 TB,Yok,Yok
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,8 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa64-ideapad-3-15itl6-i5-1135g7-8-gb-ram-2-tb-512-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1574965677","Lenovo 82H8020BTXA64 IdeaPad 3 15ITL6 i5-1135G7 8 GB Ram 2 TB + 512 GB SSD 15.6"" Dizüstü Bilgisayar",14318.15,14407,3200 MHz,2 TB,Yok,Yok
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,12 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa131-ideapad-3-15itl6-i5-1135g7-12-gb-ram-2-tb-256-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1574965713","Lenovo 82H8020BTXA131 IdeaPad 3 15ITL6 i5-1135G7 12 GB Ram 2 TB + 256 GB SSD 15.6"" Dizüstü Bilgisayar",14578.26,14671,3200 MHz,2 TB,Yok,Yok
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,8 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,128 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa47-ideapad-3-15itl6-i5-1135g7-8-gb-ram-1-tb-128-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1574962298","Lenovo 82H8020BTXA47 IdeaPad 3 15ITL6 i5-1135G7 8 GB Ram 1 TB + 128 GB SSD 15.6"" Dizüstü Bilgisayar",12738.52,12817,3200 MHz,1 TB,Yok,Yok
15.6,Windows,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,20 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ku00vntxa132-ryzen7-5700u-20gb-ram-2tb-256gb-ssd-win10-pro-15-6inc-laptop-fiyatlari,1846509277",Lenovo 82KU00VNTXA132 Ryzen7 5700U 20GB Ram 2TB + 256GB SSD Win10 Pro 15.6inç Laptop,14512.33,14763,3200 MHz,2 TB,,
15.6 inç,Windows 10 Pro,1920x1080 Piksel,LED (IPS),Full HD,1.70 kg,20 GB,AMD Ryzen 7 5700U,4.3 GHz,8 Çekirdek,AMD,1.8 GHz,8 MB,DDR4,1 TB + 256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ku00vntxa85-ryzen7-5700u-20gb-ram-1tb-ssd-256gb-ssd-win10-pro-15-6inc-laptop-fiyatlari,1846509292",Lenovo 82KU00VNTXA85 Ryzen7 5700U 20GB Ram 1TB SSD + 256GB SSD Win10 Pro 15.6inç Laptop,13968.18,14209,3200 MHz,,,
15.6 inç,Windows 10 Pro,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,8 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ku00vntxa95-ideapad-3-15alc6-ryzen-7-5700u-8-gb-2-tb-hdd256-gb-15-6-inc-windows-10-pro-dizustu-bilgisayar-fiyatlari,2075377402",Lenovo 82KU00VNTXA95 IdeaPad 3 15ALC6 Ryzen 7-5700U 8 GB 2 TB HDD+256 GB 15.6 inç Windows 10 Pro Dizüstü Bilgisayar,13424.04,13656,3200 MHz,2 TB,Yok,Yok
15.6 inç,FreeDos,1920x1080 Piksel,LED (TN),Full HD,1.70 kg,8 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82kb000stx004-v15-itl-intel-core-i5-1135g7-8-gb-ram-512-gb-ssd-freedos-15-6-tasinabilir-bilgisayar-fiyatlari,1623455162","Lenovo 82KB000STX004 V15-ITL Intel Core i5-1135G7 8 GB Ram 512 GB SSD Freedos 15.6"" Taşınabilir Bilgisayar",13753.75,14220,3200 MHz,Yok,Yok,Yok
15.6 inç,FreeDos,1920x1080 Piksel,LED (TN),Full HD,1.70 kg,4 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82kb000stx002-v15-itl-intel-core-i5-1135g7-4-gb-ram-1-tb-ssd-freedos-15-6-tasinabilir-bilgisayar-fiyatlari,1623435366","Lenovo 82KB000STX002 V15-ITL Intel Core i5-1135G7 4 GB Ram 1 TB SSD Freedos 15.6"" Taşınabilir Bilgisayar",14396.44,14884,3200 MHz,Yok,Yok,Yok
15.6 inç,,1920x1080 Piksel,,Full HD,1.70 kg,8 GB,AMD Ryzen 5 5500U,4.00 GHz,6 Çekirdek,AMD,2.10 GHz,8 MB,DDR4,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-21a40039tx008-thinkbook-15-g3-acl-amd-ryzen-r5-5500u-8-gb-ram-1-tb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1434565994","Lenovo 21A40039TX008 ThinkBook 15 G3 Acl Amd Ryzen R5 5500U 8 GB Ram 1 TB SSD 15.6"" Dizüstü Bilgisayar",12700.76,15301,3200 MHz,,,
15.6 inç,Windows,1920x1080 Piksel,,Full HD,,4 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,12 MB,DDR4,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-4p3m4esz10-ryzen5-5700u-4gb-ram-256gb-ssd-win10-home-15-6inc-laptop-fiyatlari,1228123481",Hp 4P3M4ESZ10 Ryzen5 5700U 4GB Ram 256GB SSD Win10 Home 15.6inç Laptop,11987.71,12330,3200 MHz,Yok,Yok,Yok
15.6,Windows,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,20 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ku00vntxa133-ryzen7-5700u-20gb-ram-2tb-256gb-ssd-win10-pro-15-6inc-laptop-fiyatlari,1846509124",Lenovo 82KU00VNTXA133 Ryzen7 5700U 20GB Ram 2TB + 256GB SSD Win10 Pro 15.6inç Laptop,14512.33,14763,3200 MHz,2 TB,,
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,8 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa13-ideapad-3-15itl6-i5-1135g7-8-gb-ram-1-tb-256-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1574963983","Lenovo 82H8020BTXA13 IdeaPad 3 15ITL6 i5-1135G7 8 GB Ram 1 TB + 256 GB SSD 15.6"" Dizüstü Bilgisayar",12208.31,12285,3200 MHz,1 TB,Yok,Yok
15.6 inç,Linux,1920x1080 Piksel,LED (WVA),Full HD,1.85 kg,16 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-dell-f35obf821na18-inspiron-3511-intel-core-i5-1135g7-16gb-ram-2tb-512gb-ssd-linux-15-6-tasinabilir-bilgisayar-fiyatlari,1250667895","Dell F35OBF821NA18 Inspiron 3511 Intel Core i5-1135G7 16GB Ram 2TB + 512GB SSD Linux 15.6"" Taşınabilir Bilgisayar",14178.62,14508,3200 MHz,2 TB,Yok,Yok
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,12 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa88-ideapad-3-15itl6-i5-1135g7-12-gb-ram-1-tb-512-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1574961994","Lenovo 82H8020BTXA88 IdeaPad 3 15ITL6 i5-1135G7 12 GB Ram 1 TB + 512 GB SSD 15.6"" Dizüstü Bilgisayar",14578.26,14671,3200 MHz,1 TB,Yok,Yok
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,12 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa96-ideapad-3-15itl6-i5-1135g7-12-gb-ram-2-tb-256-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1575499248","Lenovo 82H8020BTXA96 IdeaPad 3 15ITL6 i5-1135G7 12 GB Ram 2 TB + 256 GB SSD 15.6"" Dizüstü Bilgisayar",14578.26,14671,3200 MHz,2 TB,Yok,Yok
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,20 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa42-ideapad-3-15itl6-i5-1135g7-20-gb-ram-512-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1575238561","Lenovo 82H8020BTXA42 IdeaPad 3 15ITL6 i5-1135G7 20 GB Ram 512 GB SSD 15.6"" Dizüstü Bilgisayar",13788.94,13876,3200 MHz,Yok,Yok,Yok
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,8 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa118-ideapad-3-15itl6-i5-1135g7-8-gb-ram-1-tb-256-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1574963074","Lenovo 82H8020BTXA118 IdeaPad 3 15ITL6 i5-1135G7 8 GB Ram 1 TB + 256 GB SSD 15.6"" Dizüstü Bilgisayar",13528.84,13612,3200 MHz,1 TB,Yok,Yok
15.6,FreeDos,1920x1080 Piksel,LED (TN),Full HD,1.70 kg,20 GB,Intel Core i5-1135G7,4.20 GHz,4 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82kb000stx009-v15-itl-intel-core-i5-1135g7-20-gb-ram-256-gb-ssd-freedos-15-6-tasinabilir-bilgisayar-fiyatlari,1724090342","Lenovo 82KB000STX009 V15-ITL Intel Core i5-1135G7 20 GB Ram 256 GB SSD Freedos 15.6"" Taşınabilir Bilgisayar",14396.44,14884,3200 MHz,,,
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,8 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa99-ideapad-3-15itl6-i5-1135g7-8-gb-ram-2-tb-512-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1575499309","Lenovo 82H8020BTXA99 IdeaPad 3 15ITL6 i5-1135G7 8 GB Ram 2 TB + 512 GB SSD 15.6"" Dizüstü Bilgisayar",14578.26,14671,3200 MHz,2 TB,Yok,Yok
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,8 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa83-ideapad-3-15itl6-i5-1135g7-8-gb-ram-1-tb-256-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1575498945","Lenovo 82H8020BTXA83 IdeaPad 3 15ITL6 i5-1135G7 8 GB Ram 1 TB + 256 GB SSD 15.6"" Dizüstü Bilgisayar",13528.84,13612,3200 MHz,1 TB,Yok,Yok
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,8 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa60-ideapad-3-15itl6-i5-1135g7-8-gb-ram-2-tb-256-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1574960403","Lenovo 82H8020BTXA60 IdeaPad 3 15ITL6 i5-1135G7 8 GB Ram 2 TB + 256 GB SSD 15.6"" Dizüstü Bilgisayar",13659.0,13744,3200 MHz,2 TB,Yok,Yok
15.6 inç,Windows 10 Pro,1920x1080 Piksel,LED (IPS),Full HD,1.70 kg,20 GB,AMD Ryzen 7 5700U,4.3 GHz,8 Çekirdek,AMD,1.8 GHz,8 MB,DDR4,1 TB + 256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ku00vntxa86-ryzen7-5700u-20gb-ram-1tb-ssd-256gb-ssd-win10-pro-15-6inc-laptop-fiyatlari,1846509481",Lenovo 82KU00VNTXA86 Ryzen7 5700U 20GB Ram 1TB SSD + 256GB SSD Win10 Pro 15.6inç Laptop,13968.18,14209,3200 MHz,,,
15.6,Windows,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,20 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ku00vntxa108-ryzen7-5700u-20gb-ram-256gb-ssd-win10-pro-15-6inc-laptop-fiyatlari,1846509176",Lenovo 82KU00VNTXA108 Ryzen7 5700U 20GB Ram 256GB SSD Win10 Pro 15.6inç Laptop,13083.36,13240,3200 MHz,,,
15.6,Windows,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,12 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,8 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ku00vntxa135-ryzen7-5700u-12gb-ram-2tb-ssd-512gb-ssd-win10-pro-15-6inc-laptop-fiyatlari,1846509215",Lenovo 82KU00VNTXA135 Ryzen7 5700U 12GB Ram 2TB SSD + 512GB SSD Win10 Pro 15.6inç Laptop,14648.36,14819,3200 MHz,2 TB,,
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,20 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa121-ideapad-3-15itl6-i5-1135g7-20-gb-ram-1-tb-256-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1574962901","Lenovo 82H8020BTXA121 IdeaPad 3 15ITL6 i5-1135G7 20 GB Ram 1 TB + 256 GB SSD 15.6"" Dizüstü Bilgisayar",14578.26,14671,3200 MHz,1 TB,Yok,Yok
15.6 inç,Windows,1920x1080 Piksel,LED (WVA),Full HD,1.85 kg,8 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-dell-f35obf821na37-inspiron-3511-intel-core-i5-1135g7-8gb-ram-2tb-512gb-ssd-windows-10-home-15-6-tasinabilir-bilgisayar-fiyatlari,1250668295","Dell F35OBF821NA37 Inspiron 3511 Intel Core i5-1135G7 8GB Ram 2TB + 512GB SSD Windows 10 Home 15.6"" Taşınabilir Bilgisayar",14277.99,14618,3200 MHz,2 TB,Yok,Yok
15.6 inç,Windows 10 Pro,1920x1080 Piksel,LED (IPS),Full HD,1.70 kg,20 GB,AMD Ryzen 7 5700U,4.3 GHz,8 Çekirdek,AMD,1.8 GHz,8 MB,DDR4,1 TB + 512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ku00vntxa89-ryzen7-5700u-20gb-ram-1tb-ssd-512gb-ssd-win10-pro-15-6inc-laptop-fiyatlari,1846509311",Lenovo 82KU00VNTXA89 Ryzen7 5700U 20GB Ram 1TB SSD + 512GB SSD Win10 Pro 15.6inç Laptop,14512.33,14763,3200 MHz,,,
15.6 inç,Windows 10 Pro,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,8 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,8 MB,DDR4,128 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ku00vntxa94-ideapad-3-15alc6-ryzen-7-5700u-8-gb-2-tb-hdd128-gb-15-6-inc-windows-10-pro-dizustu-bilgisayar-fiyatlari,2075377401",Lenovo 82KU00VNTXA94 IdeaPad 3 15ALC6 Ryzen 7-5700U 8 GB 2 TB HDD+128 GB 15.6 inç Windows 10 Pro Dizüstü Bilgisayar,13151.96,13379,3200 MHz,2 TB,Yok,Yok
15.6 inç,,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,12 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h8020btxa65-ideapad-3-15itl6-i5-1135g7-12-gb-ram-2-tb-512-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1575499111","Lenovo 82H8020BTXA65 IdeaPad 3 15ITL6 i5-1135G7 12 GB Ram 2 TB + 512 GB SSD 15.6"" Dizüstü Bilgisayar",14848.36,14939,3200 MHz,2 TB,Yok,Yok
15.6,Windows,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,20 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ku00vntxa143-ryzen7-5700u-20gb-ram-256gb-ssd-win11-pro-15-6inc-laptop-fiyatlari,1846509422",Lenovo 82KU00VNTXA143  Ryzen7 5700U 20GB Ram 256GB SSD Win11 Pro 15.6inç Laptop,13240.36,13445,3200 MHz,,,
15.6,Windows,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,12 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ku00vntxa166-ryzen7-5700u-12gb-ram-1tb-ssd-256gb-ssd-win11-pro-15-6inc-laptop-fiyatlari,1846509331",Lenovo 82KU00VNTXA166 Ryzen7 5700U 12GB Ram 1TB SSD + 256GB SSD Win11 Pro 15.6inç Laptop,13968.18,14209,3200 MHz,1 TB,,
15.6,Windows,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,20 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ku00vntxa38-ryzen7-5700u-20gb-ram-256gb-ssd-win10-home-15-6inc-laptop-fiyatlari,1846509356",Lenovo 82KU00VNTXA38 Ryzen7 5700U 20GB Ram 256GB SSD Win10 Home 15.6inç Laptop,12825.22,12899,3200 MHz,,,
15.6 inç,Windows 10 Home,1920x1080 Piksel,LED (IPS),Full HD,1.70 kg,20 GB,AMD Ryzen 7 5700U,4.3 GHz,8 Çekirdek,AMD,1.8 GHz,8 MB,DDR4,1 TB + 256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ku00vntxa51-ryzen7-5700u-20gb-ram-1tb-ssd-256gb-ssd-win10-home-15-6inc-laptop-fiyatlari,1846509517",Lenovo 82KU00VNTXA51 Ryzen7 5700U 20GB Ram 1TB SSD + 256GB SSD Win10 Home 15.6inç Laptop,13560.07,13794,3200 MHz,,,
