Ekran Boyutu,İşletim Sistemi,Ekran Çözünürlüğü,Ekran Panel Tipi,Ekran Çözünürlük Biçimi,Ağırlık,Ram(Bellek) Boyutu,İşlemci Modeli,İşlemci Arttırılmış Frekans,İşlemci Çekirdek Sayısı,İşlemci Markası,İşlemci Temel Frekans,İşlemci Önbelleği,Ram(Bellek) Türü,SSD Boyutu,uri,Ürün Adı,En Düşük Fiyat,Medyan Fiyat,Ram(Bellek) Frekansı,Sabit Disk(HDD) Boyutu,Harici Ekran Kartı Belleği,Harici Ekran Kartı Modeli
,,,,,1.47 kg,8 GB,,4.20 GHz,,,1.60 GHz,,,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-ideapad-81vu0044tx-intel-celeron-n4020-4gb-ram-128gb-ssd-freedos-14-inc-laptop-notebook-fiyatlari,620517387",Lenovo IdeaPad 81VU0044TX Intel Celeron N4020 4GB Ram 128GB SSD Freedos 14 inç Laptop - Notebook,6499.0,6582,2400 MHz,,,
14 inç,FreeDos,1920x1080 Piksel,LED (TN),Full HD,1.60 kg,4 GB,Intel Celeron N4120,2.60 GHz,4 Çekirdek,Intel,1.10 GHz,4 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82c2006btx-v14-igl-intel-celeron-n4120-4-gb-ram-256-gb-ssd-14-dizustu-bilgisayar-fiyatlari,1494904643","Lenovo 82C2006BTX V14 IGL Intel Celeron N4120 4 GB Ram 256 GB SSD 14"" Dizüstü Bilgisayar",6199.0,6224,2400 MHz,,,
15.6 inç,Fredoss,1920x1080 Piksel,LED (IPS),Full HD,1.90 kg,8 GB,Intel Core i5-1135G7,4.20 GHz,4 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,500 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-casper-nirvana-s500-1135-8v00x-g-f-intel-core-i5-1135g7-8gb-500gb-ssd-freedos-15-6-inc-dizustu-bilgisayar-fiyatlari,865854879",Casper Nirvana S500.1135-8V00X-G-F Intel Core i5 1135G7 8GB 500GB SSD Freedos 15.6 inç Dizüstü Bilgisayar,9599.0,10199,2933 MHz,,,
15.6 İnç,Windows,,,,1.55 kg,4 GB,Intel Core i5-5257U,3.10 GHz,2 Çekirdek,,2.70 GHz,3 MB,DDR3,,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-i-life-zed-air-cx5-intel-core-i5-5257u-4gb-ram-256gb-ssd-windows-10-15-6-inc-laptop-notebook-fiyatlari,646723182",I-Life Zed Air CX5 Intel Core i5 5257U 4GB Ram 256GB SSD Windows 10 15.6 inç Laptop - Notebook,6349.0,6499,1600 MHz,,,
14 inç,FreeDos,1920x1080 Piksel,LED (IPS),Full HD,,8 GB,AMD Ryzen 5 5625U,4.30 GHz,6 Çekirdek,AMD,2.30 GHz,16 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-6q8m2es-245-g9-r5-5625u-8-gb-256-gb-ssd-dos-dizustu-bilgisayar-fiyatlari,2065455109",HP 6Q8M2ES 245 G9 R5-5625U 8 GB 256 GB SSD DOS Dizüstü Bilgisayar,9166.55,10121,3200 MHz,Yok,Yok,Yok
15.6 İnç,FreeDos,1920x1080 Piksel,LED (TN),Full HD,1.6 kg,32 GB,Intel Core i5-1135G7,4.20 GHz,4 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,1 TB + 512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-everest-everbook-eb-21ra17-intel-core-i5-1135g7-32gb-512ssd1tbssd-15-6-fiyatlari,2101208985",Everest EverBook EB-21RA17  Intel Core i5 1135G7 32gb 512ssd+1tbssd 15.6,9749.0,14849,2666 MHz,,,
14 inç,FreeDos,1920x1080 Piksel,LED (TN),Full HD,1.60 kg,12 GB,Intel Core i3-1115G4,4.10 GHz,2 Çekirdek,Intel,3.00 GHz,6 MB,DDR4,120 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ka001ttx003-v14-i3-1115g4-12-gb-120-gb-ssd-14-inc-fhd-free-dos-tasinabilir-bilgisayar-fiyatlari,2092219800",Lenovo 82KA001TTX003 V14 i3-1115G4 12 GB 120 GB SSD 14 inç FHD Free Dos Taşınabilir Bilgisayar,8879.99,9311,3200 MHz,,,
15.6 inç,Windows,1366x768 Piksel,LED (TN),HD,1.70 kg,4 GB,Intel Celeron N4020,2.80 GHz,2 Çekirdek,Intel,1.10 GHz,4 MB,LPDDR4,120 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-casper-nirvana-c370-4020-4c00b-intel-celeron-n4020-4-gb-120-gb-ssd-15-6-inc-windows-11-home-hd-dizustu-bilgisayar-fiyatlari,2065911415",Casper Nirvana C370.4020-4C00B Intel Celeron N4020 4 GB 120 GB SSD 15.6 inç Windows 11 Home Hd Dizüstü Bilgisayar,5688.0,5699,,,,
,Windows,,,,,8 GB,,,,Intel,,,,128 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-4g6c2ea-15-6-intel-core-celeron-n4500-4-gb-ram-128-gb-ssd-windows-10-home-siyah-dizustu-bilgisayar-fiyatlari,1079859998",HP 4G6C2EA 15.6 Intel Core Celeron N4500 4 GB RAM 128 GB SSD Windows 10 Home Siyah Dizüstü Bilgisayar,5899.0,6339,,,,
15.6 inç,Windows,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,8 GB,AMD Ryzen 5 5500U,4.00 GHz,6 Çekirdek,AMD,2.10 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-ideapad-3-15-alc6-82ku0117tx-amd-ryzen-5-5500u-8gb-ram-256gb-ssd-laptop-notebook-fiyatlari,2059975625",Lenovo Ideapad 3 15 ALC6 82KU0117TX Amd Ryzen 5 5500U 8GB Ram 256GB SSD Laptop - Notebook,9499.0,9949,3200 MHz,,,
14 inç,FreeDos,1920x1080 Piksel,LED (TN),Full HD,1.60 kg,12 GB,Intel Core i3-1115G4,4.10 GHz,2 Çekirdek,Intel,3.00 GHz,6 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ka001ttx017-v14-i3-1115g4-12-gb-512-gb-ssd-14-inc-fhd-free-dos-tasinabilir-bilgisayar-fiyatlari,2092220232",Lenovo 82KA001TTX017 V14 i3-1115G4 12 GB 512 GB SSD 14 inç FHD Free Dos Taşınabilir Bilgisayar,9799.99,10035,3200 MHz,,,
14 inç,Windows,1920x1080 Piksel,LED (TN),Full HD,1.39 kg,4 GB,Intel Core i3-1115G4,4.10 GHz,2 Çekirdek,Intel,1.70 GHz,6 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82fe00lctx-ideapad-5-intel-core-i3-1115g4-4-gb-ram-256-gb-ssd-14-dizustu-bilgisayar-fiyatlari,1443774426","Lenovo 82FE00LCTX IdeaPad 5 Intel Core i3-1115G4 4 GB Ram 256 GB SSD 14"" Dizüstü Bilgisayar",8999.0,9547,3200 MHz,Yok,Yok,Yok
,,,,,,8 GB,,,,Intel,,,,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-dynabook-satellite-pro-c50-h-112-i5-1035g1-8gb-ram-256gb-ssd-fiyatlari,851177972",Dynabook Satellite Pro C50-H-112 I5-1035G1 8GB Ram 256GB SSD,9890.0,12300,,,,
15.6 inç,Windows,1920x1080 Piksel,LED (TN),Full HD,1.85 kg,8 GB,Intel Core i3-1005G1,3.40 GHz,2 Çekirdek,Intel,1.20 GHz,4 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-81we01qxtx-i3-1005g1-islemci-8-gb-ram-256gb-ssd-laptop-fiyatlari,2092609714",Lenovo 81WE01QXTX İ3-1005G1 İşlemci 8 GB Ram 256GB SSD Laptop,9098.6,9399,2666 MHz,,,
15.6 inç,FreeDos,1920x1080 Piksel,LED (IPS),Full HD,1.74 kg,8 GB,AMD Ryzen 5 5625U,4.30 GHz,6 Çekirdek,AMD,2.30 GHz,16 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-6q8n2es-255-g9-r5-5625u-8-gb-512-ssd-15-6-fdos-dizustu-bilgisayar-fiyatlari,2065455446",HP 6Q8N2ES 255 G9 R5-5625U 8 GB 512 SSD 15.6 FDOS Dizüstü Bilgisayar,9883.0,10702,3200 MHz,Yok,Yok,Yok
15.6 inç,FreeDos,1920x1080 Piksel,LED (TN),Full HD,1.65 kg,8 GB,İntel Core i3-1115G4,4.10 GHz,4 Çekirdek,Intel,,6 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82h802f4tx-ideapad-3-intel-core-i3-1115g4-8-gb-ram-256-gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-fiyatlari,2068116784","Lenovo 82H802F4TX Ideapad 3 Intel Core i3-1115G4 8 GB Ram 256 GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar",7999.0,8899,3200 MHz,,,
15.6 inç,FreeDos,1920x1080 Piksel,LED (IPS),Full HD,1.70 kg,8 GB,Intel Core i3-10110U,4.10 GHz,2 Çekirdek,Intel,2.10 GHz,4 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-ideapad-3-81wb01g1tx-intel-core-i3-10110u-8gb-ram-256gb-ssd-freedos-15-6-inc-laptop-notebook-fiyatlari,2092611970",Lenovo Ideapad 3 81WB01G1TX Intel Core i3 10110U 8GB Ram 256GB SSD Freedos 15.6 inç Laptop - Notebook,8600.0,9499,2666 MHz,,,
15.6 İnç,,,,,,4 GB,,,,,,,,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-asus-d515da-ej838-ryzen-3-3250u-4gb-256gb-15-6-free-dos-dizustu-bilgisayar-fiyatlari,1740857958","Asus D515da-ej838 Ryzen 3 3250u 4gb 256gb 15.6"" Free Dos Dizüstü Bilgisayar",6899.0,7133,,,,
15.6 inç,FreeDos,1920x1080 Piksel,LED (TN),Full HD,1.70 kg,8 GB,AMD Ryzen 7 5700U,4.30 GHz,8 Çekirdek,AMD,1.80 GHz,8 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82kd0044tx-v15-g2-alc-amd-ryzen-7-5700u-8-gb-ram-512-gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-fiyatlari,2067372530","Lenovo 82KD0044TX V15 G2 Alc Amd Ryzen 7 5700U 8 GB Ram 512 GB SSD Freedos 15.6"" Fhd Taşınabilir Bilgisayar",9949.0,11999,3200 MHz,Yok,Yok,Yok
15.6 inç,FreeDos,1920x1080 Piksel,LED (IPS),Full HD,1.74 kg,8 GB,AMD Ryzen 5 5625U,4.30 GHz,6 Çekirdek,AMD,2.30 GHz,16 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-255-g9-6q8n1es-ryzen-5625u-8-gb-256-ssd-o-b-15-6-dos-dizustu-bilgisayar-fiyatlari,2065464441",HP 255 G9 6Q8N1ES RYZEN-5625U 8 GB 256 SSD O-B 15.6 DOS Dizüstü Bilgisayar,9199.99,10077,3200 MHz,Yok,Yok,Yok
15.6 İnç,Windows,1920x1080 Piksel,LED (IPS),Full HD,1.80 kg,8 GB,Intel Core İ5-5257U,4.70 GHz,4 Çekirdek,Intel,,12 MB,DDR3,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-i-life-ntbtilwbi5158256-siyah-zed-air-cx5-i5-5257u-8gb-ram-256gb-ssd-15-6-ips-fhd-windows-10-dizustu-bilgisayar-fiyatlari,724827208",I-Life NTBTILWBI5158256 Siyah Zed Air CX5 i5-5257U 8GB RAM 256GB SSD 15.6 IPS FHD Windows 10 Dizüstü Bilgisayar,6499.0,6804,1333 MHz,Yok,Yok,Yok
14 İnç,Linux,1366x768 Piksel,LED (TN),HD,1.59 kg,4 GB,Intel Core i5-1135G7,4.20 GHz,8 Çekirdek,Intel,2.40 GHz,8 MB,DDR4,,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-dell-vostro-3400-n4001vn3400emea01u-4gb-ram-1tb-14-tasinabilir-bilgisayar-fiyatlari,930302715","Dell Vostro 3400 N4001VN3400EMEA01_U 4GB Ram 1TB 14"" Taşınabilir Bilgisayar",7072.68,7759,2666 MHz,1 TB,Yok,Yok
14 inç,FreeDos,1920x1080 Piksel,,Full HD,1.50 kg,8 GB,Intel Core i5-1035G7,3.60 GHz,4. Çeyrek,Intel,1.00 GHz,6 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-asus-x415ja-ek1754-intel-core-i5-1035g1-8-gb-ram-256-gb-ssd-freedos-14-tasinabilir-bilgisayar-fiyatlari,1732904026","Asus X415JA-EK1754 Intel Core i5-1035G1 8 GB Ram 256 GB SSD Freedos 14"" Taşınabilir Bilgisayar",8999.0,9046,3200 MHz,,Yok,Yok
14 inç,FreeDos,1920x1080 Piksel,LED (IPS),Full HD,,8 GB,AMD Ryzen 5 5625U,4.30 GHz,6 Çekirdek,AMD,2.30 GHz,16 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-245-g9-6q8m3es-ryzen-5-14-8-gb-ram-512-gb-ssd-dos-dizustu-bilgisayar-fiyatlari,2066757548",HP 245 G9 6q8m3es Ryzen 5 14'' 8 Gb Ram 512 Gb Ssd Dos Dizüstü Bilgisayar,9794.99,10604,3200 MHz,Yok,Yok,Yok
,Windows,1366x768 Piksel,LED (TN),HD,1.30 kg,4 GB,Intel Core Pentium N5000,2.70 GHz,,,1.10 GHz,4 MB,,120 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-casper-nirvana-c350-5000-4c00e-intel-core-pentium-n5000-4gb-ram-120gb-ssd-windows-home-14-inc-laptop-notebook-fiyatlari,659230685",Casper Nirvana C350.5000-4C00E Intel Core Pentium N5000 4GB Ram 120GB SSD Windows Home 14 inç Laptop - Notebook,5499.0,6549,2400 MHz,,,
15.6 inç,FreeDos,1920x1080 Piksel,TN,Full HD,1.70 kg,16 GB,AMD Ryzen 5 5500U,4.00 GHz,6 Çekirdek,AMD,2.10 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82kd0042tx03-v15-alc-gen-2-amd-ryzen-5-5500u-16-gb-ram-256-gb-ssd-15-6-tasinabilir-bilgisayar-fiyatlari,1895573406","Lenovo 82KD0042TX03 V15 Alc Gen 2 Amd Ryzen 5 5500U 16 GB Ram 256 GB SSD 15.6"" Taşınabilir Bilgisayar",9831.55,10459,3200 MHz,,,
15.6 İnç,FreeDos,1920x1080 Piksel,LCD,Full HD,1.90 kg,8 GB,AMD Ryzen 5 3500U,4.50 GHz,4 Çekirdek,AMD,2.60 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-acer-aspire-3-a315-23-nx-hvtey-00b-amd-ryzen-5-3500u-8gb-ram-256gb-ssd-freedos-15-6-inc-laptop-notebook-fiyatlari,720966993",Acer Aspire 3 A315-23 NX.HVTEY.00B AMD Ryzen 5 3500U 8GB Ram 256GB SSD Freedos 15.6 inç Laptop - Notebook,8899.0,9486,2666 MHz,Yok,Yok,Yok
14.1 İnç,Windows,1366x768 Piksel,LED (TN),HD,1.3 kg,4 GB,Intel Celeron N4020,2.80 GHz,2 Çekirdek,Intel,1.10 GHz,4 MB,LPDDR4,120 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-casper-nirvana-c350-4020-4c00b-celeron-n4020-4gb-ram-120gb-ssd-14-dizustu-bilgisayar-fiyatlari,1269669449","Casper Nirvana C350.4020-4C00B Celeron N4020 4GB Ram 120GB SSD 14"" Dizüstü Bilgisayar",5499.0,5749,,,,
15.6 inç,FreeDos,1920x1080 Piksel,LED (TN),Full HD,1.7 kg,8 GB,Intel Core i3-1115G4,4.10 GHz,2 Çekirdek,Intel,1.70 GHz,6 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-v15-g2-itl-82kb0005txx-i3-1115g4-8-gb-256-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1881000483","Lenovo V15 G2 ITL 82KB0005TXX i3-1115G4 8 GB 256 GB SSD 15.6"" Dizüstü Bilgisayar",8199.0,8900,3200 MHz,Yok,Yok,Yok
15.6 İnç,FreeDos,1920x1080 Piksel,,Full HD,2.07 kg,8 GB,AMD Ryzen 5 5500U,4.00 GHz,6 Çekirdek,AMD,2.10 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-15s-eq2005nt-4h0j7ea-amd-ryzen-5500u-15-6-8-gb-ram-256-gb-ssd-freedos-tasinabilir-bilgisayar-fiyatlari,2096685573","HP 15S-EQ2005NT 4H0J7EA Amd Ryzen 5500u 15.6"" 8 Gb Ram 256 Gb Ssd Freedos Taşınabilir Bilgisayar",8399.0,10200,3200 MHz,,,
15.6 inç,Windows,1920 x 1080 Piksel,LED (TN),FHD,1.65 kg,8 GB,Intel Core i3-1115G4,4.10 GHz,2 Çekirdek,Intel,3.00 GHz,6 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-ideapad-3-82h802rktx-intel-core-i3-1115g4-8-gb-ram-256-gb-ssd-integrated-intel-uhd-graphics-15-6-fhd-win11-gri-notebook-fiyatlari,2068681707","Lenovo Ideapad 3 82H802Rktx Intel Core i3-1115G4 8 GB Ram 256 GB SSD Integrated Intel Uhd Graphıcs 15.6"" Fhd Win11 Gri Notebook",9995.0,9999,3200 MHz,,,
15.6 inç,FreeDos,1366x768 Piksel,LED (TN),HD,1.70 kg,4 GB,Intel Celeron N4020,2.80 GHz,2 Çekirdek,Intel,1.10 GHz,4 MB,LPDDR4,120 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-casper-nirvana-c370-4020-4c00x-intel-celeron-n4020-4-gb-120-gb-ssd-15-6-inc-freedos-hd-dizustu-bilgisayar-fiyatlari,2065911471",Casper Nirvana C370.4020-4C00X Intel Celeron N4020 4 GB 120 GB SSD 15.6 inç Freedos Hd Dizüstü Bilgisayar,5299.0,5499,,,,
15.6 inç,Windows,1920x1080 Piksel,LED (IPS),Full HD,1.85 kg,4 GB,AMD Ryzen 5-3500U,,4 Çekirdek,AMD,2.10 GHz,4 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-ideapad-s145-15api-81ut00mvtx-amd-ryzen-5-3500u-4gb-ram-256gb-ssd-15-6-windows-10-home-dizustu-bilgisayar-fiyatlari,834158829",Lenovo IdeaPad S145-15API 81UT00MVTX AMD Ryzen 5 3500U 4GB Ram 256GB SSD 15.6 Windows 10 Home Dizüstü Bilgisayar,9149.0,9599,,,,AMD Radeon Pro
15.6 inç,FreeDos,1920x1080 Piksel,LED (IPS),Full HD,1.65 kg,8 GB,AMD Ryzen 3 3250U,3.50 GHz,2 Adet,AMD,2.60 GHz,4 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82kr00cvtx-dizustu-bilgisayar-fiyatlari,2059492934",Lenovo 82KR00CVTX Dizüstü Bilgisayar,7498.99,8217,2400 MHz,Yok,Yok,Yok
15.6 inç,FreeDos,1920x1080 Piksel,LED (TN),Full HD,1.70 kg,8 GB,AMD Ryzen 3-5300U,3.80 GHz,4 Çekirdek,AMD,2.60 GHz,4 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-v15-82kd0041tx-ryzen-3-5300u-8-gb-ram-256-gb-ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-fiyatlari,2076674308","Lenovo V15 82KD0041TX Ryzen 3 5300u 8 GB Ram 256 GB SSD 15.6"" Fullhd Freedos Taşınabilir Bilgisayar",8024.99,9090,3200 MHz,,,
15.6 İnç,FreeDos,1920x1080 Piksel,LED (SVA),Full HD,1.78 kg,4 GB,Intel Core i3-1005G1,3.40 GHz,2 Çekirdek,Intel,1.20 GHz,4 MB,DDR4,128 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-250-g7-core-i3-1005g1-255g9es-4gb-128gb-ssd-15-6-freedos-dizustu-bilgisayar-fiyatlari,663479480",HP 250 G7 Core İ3-1005G1 255G9ES 4GB 128GB SSD 15.6''  Freedos Dizüstü Bilgisayar,9476.25,11275,2400 MHz,Yok,Yok,Yok
14 inç,FreeDos,1920x1080 Piksel,LED (TN),Full HD,1.60 kg,8 GB,Intel Core i3-1115G4,4.10 GHz,2 Çekirdek,Intel,3.00 GHz,6 MB,DDR4,1 TB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ka001ttx021-v14-i3-1115g4-8-gb-1-tb-ssd-14-inc-fhd-free-dos-tasinabilir-bilgisayar-fiyatlari,2092221734",Lenovo 82KA001TTX021 V14 I3-1115G4 8 GB 1 TB SSD 14 inç FHD Free Dos Taşınabilir Bilgisayar,9915.29,10556,3200 MHz,,,
